# 1c957f52-822d-4d76-bdf3-c3d51b0de46f
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
275.8138749; 89668.4221917; 43169.7321218; -1.3077555; -0.2037751; 7.2759640; 0.9640607
276.8132005; 89669.4742702; 43169.8836559; -1.5464181; -0.1936237; 7.4071907; 1.1193626
277.8125262; 89670.4132016; 43169.8535105; -1.6190795; 0.0546883; 7.5566983; 2.6637742
278.8118518; 89671.3074422; 43169.8273288; -1.6103578; -0.0901111; 7.9011167; -0.2899135
279.8111774; 89672.2979610; 43169.7197806; -1.7646461; -0.1940234; 7.8643632; -0.2899135
280.8105031; 89673.3137735; 43169.4077523; -1.9661941; -0.1517912; 7.8274372; 2.4127403
281.8098287; 89674.1945943; 43168.9739649; -2.0812946; -0.0934203; 8.1296371; 4.9901984
282.8091543; 89675.0761068; 43168.4278801; -2.1664700; -0.0753583; 8.7215059; 4.9434469
283.8084800; 89675.8933312; 43167.8270599; -2.2441492; -0.0822099; 9.2706468; 4.5316121
284.8078056; 89676.6900516; 43167.1256114; -2.3460874; -0.1090826; 9.7468972; 1.1916112
285.8071312; 89677.3522581; 43166.3993404; -2.4601151; -0.1185420; 9.8683139; -0.0005376
286.8064569; 89677.9105100; 43165.6287274; -2.5662254; -0.0999770; 9.8682595; 1.8075012
287.8057825; 89678.3883096; 43164.8095685; -2.6612569; -0.1008965; 10.0496323; 1.3365328
288.8051081; 89678.8016876; 43163.9098677; -2.7599783; -0.0975283; 10.1816685; 1.4036536
289.8044338; 89679.1434920; 43162.9174763; -2.8583517; -0.0892548; 10.3185167; 1.9977977
290.8037594; 89679.3843854; 43161.9386154; -2.9394231; -0.0734474; 10.5102183; 3.3688546
291.8030850; 89679.5526585; 43160.9313629; -3.0123957; -0.0716701; 10.8257957; 3.0510534
292.8024107; 89679.6442848; 43159.9387217; -3.0888123; -0.0845796; 11.1038662; -0.0693420
293.8017363; 89679.6493579; 43158.8963952; 3.0976440; -0.0898683; 11.0976238; -0.6563423
294.8010619; 89679.5612343; 43157.8712917; 3.0196856; -0.0566641; 11.0383629; -4.9557517
295.8003876; 89679.4317894; 43156.9525447; 2.9932630; 0.0064623; 10.5802002; -7.8993102
296.7997132; 89679.2896591; 43155.9844853; 2.9870839; -0.0473352; 9.8057468; -1.1026260
297.7990388; 89679.1025075; 43155.0213256; 2.9000301; -0.1206801; 9.6927243; -1.0732783
298.7983645; 89678.8128556; 43154.0949256; 2.7773798; -0.1223311; 9.5814297; -1.1228214
299.7976901; 89678.4077392; 43153.1971108; 2.6580061; -0.1224804; 9.4635970; -0.4159144
300.7970157; 89677.8625901; 43152.3066752; 2.5242190; -0.1352442; 9.4195754; -0.4159144
301.7963414; 89677.2326988; 43151.5351436; 2.3914231; -0.1276302; 9.3753470; 0.3696513
302.7956670; 89676.5068695; 43150.8479136; 2.2673374; -0.1216715; 9.4146660; 0.8000550
303.7949926; 89675.6938943; 43150.2486462; 2.1445628; -0.1223608; 9.4992088; 0.5358024
304.7943183; 89674.7977191; 43149.7439294; 2.0261332; -0.1058608; 9.5554094; 1.9062956
305.7936439; 89673.8673895; 43149.3462587; 1.9251173; -0.0954058; 9.7527365; 2.4795354
306.7929695; 89672.9497649; 43149.0535979; 1.8338362; -0.0962104; 10.0035791; 1.9029849
307.7922952; 89671.9284437; 43148.8283816; 1.7485720; -0.0590256; 10.1919085; 4.8130859
308.7916208; 89670.9626841; 43148.6735232; 1.7223700; 0.0105013; 10.6533882; 4.7679937
309.7909464; 89670.0377614; 43148.5171052; 1.7588169; 0.0379117; 11.0916291; 4.7233239
310.7902721; 89669.0939680; 43148.3256582; 1.7770616; 0.0012147; 11.5093229; 4.6790726
311.7895977; 89668.0586486; 43148.1135251; 1.7650663; -0.0178921; 11.9086669; 4.6352359
312.7889233; 89667.1407566; 43147.9384726; 1.7555280; -0.0041621; 12.2914835; -3.3308622
313.7882490; 89666.1452352; 43147.7529786; 1.7559429; 0.0044810; 12.0176260; -11.0901425
314.7875746; 89665.1102944; 43147.5551767; 1.7646780; 0.0121296; 11.0570343; -8.7852981
315.7869002; 89664.0866058; 43147.3438200; 1.7883622; 0.0353917; 10.2322657; -6.1801174
316.7862259; 89663.0978133; 43147.1012648; 1.8397926; 0.0677091; 9.6097535; -2.1559046
317.7855515; 89662.1765462; 43146.8075714; 1.9268302; 0.1165034; 9.3828812; -0.8409455
318.7848771; 89661.2329204; 43146.3810352; 2.0658572; 0.1339065; 9.2928845; -0.4257774
319.7842028; 89660.3765732; 43145.8440534; 2.1925263; 0.1138637; 9.2469845; -1.9167823
320.7835284; 89659.6510735; 43145.2695939; 2.2832732; 0.0861761; 9.0374633; -0.3793015
321.7828540; 89658.9456420; 43144.5898161; 2.4025811; 0.1482989; 8.9954239; -0.3793015
322.7821797; 89658.3267667; 43143.7998590; 2.5476427; 0.1269483; 8.9531872; 1.4481335
323.7815053; 89657.8405899; 43142.9888644; 2.6513811; 0.0997825; 9.1133898; 3.3233618
324.7808309; 89657.4104357; 43142.0770670; 2.7500232; 0.0985956; 9.4708033; 2.7359039
325.7801566; 89657.0610834; 43141.0825683; 2.8597630; 0.1087472; 9.7552157; 1.2050757
326.7794822; 89656.8334039; 43140.1214696; 2.9538351; 0.0822185; 9.8778925; 3.5203434
327.7788078; 89656.6831268; 43139.1312809; 3.0242290; 0.0589228; 10.2278394; 4.8096467
328.7781335; 89656.5912347; 43138.1260265; 3.0732109; 0.0386167; 10.6874461; 4.7645867
329.7774591; 89656.5400749; 43137.1273605; 3.1054924; 0.0259281; 11.1240394; 4.7199488
330.7767847; 89656.5148293; 43136.1282373; 3.1250486; 0.0132038; 11.5402679; 4.6757291
331.7761104; 89656.5027766; 43135.1297233; 3.1318753; 0.0004572; 11.9382970; 4.6319237
332.7754360; 89656.4912036; 43134.1224646; 3.1263544; -0.0114012; 12.3199243; 4.5885287
333.7747616; 89656.4681897; 43133.1210141; 3.1088117; -0.0237866; 12.6866625; 4.5455403
334.7740873; 89656.4219096; 43132.1313888; 3.0786832; -0.0372891; 13.0397989; 4.5029546
335.7734129; 89656.3358833; 43131.1106507; 3.0343552; -0.0493300; 13.3804406; 2.3289100
336.7727385; 89656.2013599; 43130.1156310; 2.9774818; -0.0648113; 13.5532605; -37.3676560
337.7720642; 89656.0105557; 43129.1674233; 2.9051457; -0.0860099; 10.4405918; -3.0393528
